"puma2020","cz90","afactor"
"100100",6200,0.837957049944307
"100100",10501,0.033511500181416
"100100",10600,0.104776462451062
"100100",10802,0.0237549874232153
"101000",6200,0.0485111594206818
"101000",10501,0.00194005376270172
"101000",10600,0.00606573770557378
"101000",10802,0.00137522798095735
"100200",6000,1
"100401",6000,0.833409157541289
"100402",6000,0.0794643531912002
"100403",6000,4.92484672948308e-05
"100402",6000,0.9205356468088
"100403",6000,0.999950751532705
"100501",6000,9.7464936943533e-06
"100600",6100,1
"100401",6000,0.0356507758466506
"100401",6100,0.0583409300523962
"100401",10600,0.0176592491650646
"100401",10700,0.0549398873945997
"100501",6000,0.213999928510023
"100501",6100,0.350201491101462
"100501",10600,0.106002687714847
"100501",10700,0.329786146179974
"100300",6000,1
"101000",6100,0.3444798686318
"101000",10600,0.104270814733837
"101000",10700,0.324398074921962
"100900",10600,0.379000008106232
"100900",10700,0.620999991893768
"101402",10600,0.000807734691605714
"101402",10700,0.00132349136203413
"100700",6100,0.800726885575763
"100700",6600,0.0308873325130516
"100700",9500,0.121556600838075
"100700",9600,0.0468291810731104
"101600",6600,0.154999998882413
"101600",9500,0.610000005215406
"101600",9600,0.234999995902181
"100800",6600,5.27000006794955e-06
"100800",9500,2.07400002380758e-05
"100800",9600,0.999973989999694
"101401",10700,0.000207716205476483
"101404",10700,0.000452456772760123
"101501",10700,0.999812564683812
"101502",10700,0.623579031141972
"101403",10700,0.496809732200472
"101403",10700,0.502973477377321
"101404",10700,8.22648676811931e-05
"101403",10700,0.000216790422206602
"101404",10700,0.999465278359559
"101501",10700,8.9642978217701e-05
"101301",10700,0.425597562841657
"101402",10700,0.99786877394636
"101401",10700,0.999792283794524
"101501",10700,9.77923379701494e-05
"101000",6200,0.017865553370962
"101000",10501,0.0120117339004287
"101000",10600,0.07280701546246
"101000",10700,0.0577601138349229
"101000",10802,0.0085146462737132
"101100",6200,0.0250857974242658
"101100",10501,0.0168661959181238
"101100",10600,0.102231484412079
"101100",10700,0.0811034780048007
"101100",10802,0.0119557836875527
"101301",6200,0.0607367087909918
"101301",10501,0.0408357451256458
"101301",10600,0.247518697253013
"101301",10700,0.196364430526305
"101301",10802,0.0289468554623884
"101100",6200,0.0065928695398406
"101100",10501,0.00443265267686928
"101100",10600,0.013859052785241
"101100",10801,0.119264451040105
"101100",10802,0.00314213336945724
"101201",6200,0.0447607960055561
"101201",10501,0.0300944923957383
"101201",10600,0.0940929030677292
"101201",10801,0.809719004973646
"101201",10802,0.0213328035573303
"101202",6200,0.00173123312491417
"101202",10501,0.00116397800670285
"101202",10600,0.0036392728715095
"101202",10801,0.0313178604578193
"101202",10802,0.000825098288268885
"101202",10801,0.961322557250785
"101100",6200,0.0145529273974285
"101100",10501,0.00978452183816697
"101100",10600,0.0305921122343514
"101100",10801,0.413950436216895
"101100",10802,0.146582209613954
"101100",11001,1.54113218108527e-06
"101100",11002,2.00304004811852e-06
"101100",11101,3.49668640248726e-07
"101700",6200,0.0106963575193552
"101700",10501,0.00719159388890142
"101700",10600,0.0224851097510928
"101700",10801,0.304252315712875
"101700",10802,0.107737479696694
"101700",11001,1.13272748109666e-06
"101700",11002,1.47222836307477e-06
"101700",11101,2.57005390548988e-07
"101502",9500,0.15542626022618
"101502",9600,0.106126405423423
"101502",9701,2.19387789526355e-05
"101502",9800,1.5806285812054e-05
"101502",10301,1.27832250031013e-05
"101502",10302,7.16897126916364e-06
"101502",10700,0.114782102809465
"101502",11101,9.41467262579755e-06
"101502",11102,1.90884652972699e-05
"102000",9500,0.301292403976476
"102000",9600,0.205725079976025
"102000",9701,4.2528125178648e-05
"102000",9800,3.06403425220602e-05
"102000",10301,2.47801664027162e-05
"102000",10302,1.38969861629649e-05
"102000",10700,0.222504071310813
"102000",11101,1.82502579934062e-05
"102000",11102,3.70028178588787e-05
"102101",9701,0.00011783767072525
"102101",9800,0.999621898809257
"102101",10301,6.8661320866802e-05
"102101",10302,3.8506012403185e-05
"102101",11101,5.0568135061036e-05
"102101",11102,0.000102528051686681
"102201",9701,5.18916703507293e-05
"102201",9800,0.440199214131825
"102201",10301,3.02360917891282e-05
"102201",10302,1.69567277581888e-05
"102201",11101,2.22684730501564e-05
"102201",11102,4.51498389868268e-05
"101801",11101,0.932190435858416
"101802",11101,0.883091280878954
"101700",10802,0.00334385718298765
"101700",11001,0.0124349686442232
"101700",11002,0.0161619763844403
"101700",11101,0.515693479258195
"101801",10802,0.000414045478529056
"101801",11001,0.00153973159170364
"101801",11002,0.00200121981289044
"101801",11101,0.0638545672584611
"101802",10802,0.000713845121487922
"101802",11001,0.00265461149109335
"101802",11002,0.00345025142052496
"101802",11101,0.110090011087939
"101901",10802,0.00610600412744936
"101901",11001,0.022706702383291
"101901",11002,0.0295123532826719
"101901",11101,0.941674940206588
"102600",10802,0.0961923837094364
"102600",11001,0.357715433205894
"102600",11002,0.464929855837373
"102600",11101,0.0811623272472967
"102400",9701,0.0360767946392291
"102400",9800,0.0259923365437691
"102400",10301,0.0210211252250522
"102400",10302,0.243080196144534
"102400",11101,0.015481773931243
"102400",11102,0.156835795649761
"102500",9701,0.0395230801690528
"102500",9800,0.0284752903153798
"102500",10301,0.0230291971839987
"102500",10302,0.266300766900249
"102500",11101,0.0169606917233804
"102500",11102,0.171817751184093
"102000",9701,0.0687957142747882
"102000",9800,0.0495691968066037
"102000",10301,0.0400856893717315
"102000",10302,0.0224804893736978
"102000",11101,0.0295225697757066
"102000",11102,0.0598576864380394
"102201",9701,0.142429982315367
"102201",9800,0.102624704154556
"102201",10301,0.0829906933665975
"102201",10302,0.0465420809666624
"102201",11101,0.0611215267605565
"102201",11102,0.123925295502501
"102500",9701,0.115518304745252
"102500",9800,0.0832341032147851
"102500",10301,0.0673098743080304
"102500",10302,0.0377481075626379
"102500",11101,0.0495728149371485
"102500",11102,0.100510017755992
"102300",9701,0.0224795081349449
"102300",9800,0.0161958672558773
"102300",10301,0.0130982967459549
"102300",10302,0.870936274167904
"102300",11101,0.00964671841723859
"102300",11102,0.0676433352780808
"102400",9701,0.0112737425862203
"102400",9800,0.00812242142075689
"102400",10301,0.00656895270774502
"102400",10302,0.436784973453548
"102400",11101,0.00483794483334966
"102400",11102,0.0339239428647911
"102701",11001,1
"102702",11001,1
"102803",11001,0.700025274962689
"102802",11001,0.490810791649177
"102803",11001,0.299968405123351
"102801",11001,1
"102802",11001,0.509189208350823
"102803",11001,6.31991395970834e-06
"200101",34102,0.999962277531743
"200102",34102,1
"200101",34102,3.7722468256543e-05
"200200",34102,1
"200300",34102,6.08638986394484e-06
"200300",34101,0.000160213448406481
"200300",34103,0.0646793592806042
"200300",34104,7.71398106478353e-05
"200300",34105,0.000427235872118499
"200300",34106,0.000539978674534847
"200300",34107,0.000397566707460797
"200300",34108,0.000818868723364834
"200300",34109,0.209213282993538
"200300",34110,0.0561153859892239
"200300",34111,0.0899179956308563
"200300",34112,0.00135884739789968
"200300",34113,0.000433169699229309
"200300",34114,0.000320426896812961
"200300",34115,0.575534442485439
"200400",34101,0.0248640780890749
"200400",34103,0.00526701716567193
"200400",34104,0.011971593153999
"200400",34105,0.0663042082375332
"200400",34106,0.0838011520779933
"200400",34107,0.0616997493321489
"200400",34108,0.127083065788605
"200400",34109,0.0556939721602149
"200400",34110,0.0653165951088289
"200400",34111,0.06346719146521
"200400",34112,0.210884217866599
"200400",34113,0.06722510001861
"200400",34114,0.0497281561781499
"200400",34115,0.106693903357361
"400105",35001,0.0720434986459142
"400135",35001,1
"400101",35001,1
"400102",35001,1
"400103",35001,0.948562283725435
"400104",35001,1
"400105",35001,0.927956501354086
"400106",35001,0.00131753455988733
"400106",35001,0.995009074382413
"400106",35001,0.00367339105769911
"400107",35001,1
"400108",35001,1
"400103",35001,0.0514377162745645
"400109",35001,1
"400118",35001,0.0140624110815121
"400110",35001,0.99982897212322
"400113",35001,1.95719617916514e-05
"400117",35001,0.000341731057908499
"400111",35001,1
"400112",35001,1
"400110",35001,2.56541808670714e-05
"400113",35001,0.999980428038208
"400117",35001,1.89850582068956e-05
"400114",35001,1
"400115",35001,1
"400116",35001,1
"400110",35001,0.000145373695912545
"400117",35001,0.953306248682691
"400117",35001,0.0463330352011937
"400118",35001,0.985937588918488
"400121",35001,0.000992163302702819
"400119",35001,1
"400120",35001,1
"400121",35001,1.4379178527699e-05
"400121",35001,0.889675756598058
"400121",35001,0.0705154893983103
"400122",35001,1
"400124",35001,6.97391734054465e-05
"400121",35001,0.0388022115224015
"400123",35001,1
"400124",35001,0.999930260826595
"400125",35001,1
"400126",35001,0.999983578155418
"400127",35001,1.75759277460177e-05
"400128",35001,0.000504261977861445
"400126",35001,1.64218445820381e-05
"400127",35001,0.996599057869052
"400130",35001,0.000344403028108199
"400128",35001,0.999456948636914
"400127",35001,0.00204759570445727
"400128",35001,3.87893852244463e-05
"400129",35001,1
"400127",35001,0.00133577049874508
"400130",35001,0.999371464475274
"400131",35001,1
"400130",35001,1.72201508280594e-05
"400132",35001,0.99999024523447
"400133",35001,0.000346073971327998
"400134",35001,0.000172931641338434
"400132",35001,9.75476552985238e-06
"400133",35001,0.999653926028672
"400130",35001,0.000266912345789529
"400134",35001,0.999827068358662
"401901",35100,0.935060134739967
"401905",35100,0.00022608833271159
"401901",35100,0.0649398652600329
"401902",35100,0.895274624367595
"401902",35100,0.104725375632405
"401903",35100,0.909567767771532
"401904",35100,0.000344596543652794
"401904",35100,0.999655403456347
"401905",35100,0.999773911667288
"401908",35100,0.0845997458703939
"401909",35100,0.20409612373921
"401906",35100,0.796010529334177
"401907",35100,0.126237651555763
"401907",35100,0.873762348444237
"401908",35100,0.915400254129606
"401906",35100,0.203989470665823
